medicine_code,name,generic_code,generic_name,batch_number,expiry_date,mrp,unit,stock_qty,status
MED-001,Crocin 500mg,GEN-001,Paracetamol,BCH-2024-001,2027-06-30,25.00,TABLET,500,true
MED-002,Dolo 650mg,GEN-001,Paracetamol,BCH-2024-002,2027-03-31,35.00,TABLET,450,true
MED-003,Amoxil 500mg,GEN-002,Amoxicillin,BCH-2024-003,2027-08-31,85.00,CAPSULE,300,true
MED-004,Mox 250mg,GEN-002,Amoxicillin,BCH-2024-004,2026-12-31,55.00,CAPSULE,250,true
MED-005,Glycomet 500mg,GEN-003,Metformin,BCH-2024-005,2027-05-31,42.00,TABLET,600,true
MED-006,Glucophage 850mg,GEN-003,Metformin,BCH-2024-006,2027-07-31,68.00,TABLET,350,true
MED-007,Amlip 5mg,GEN-004,Amlodipine,BCH-2024-007,2027-09-30,38.00,TABLET,400,true
MED-008,Stamlo 10mg,GEN-004,Amlodipine,BCH-2024-008,2027-04-30,72.00,TABLET,280,true
MED-009,Lipitor 20mg,GEN-005,Atorvastatin,BCH-2024-009,2027-10-31,145.00,TABLET,200,true
MED-010,Storvas 40mg,GEN-005,Atorvastatin,BCH-2024-010,2027-11-30,198.00,TABLET,180,true
MED-011,Omez 20mg,GEN-006,Omeprazole,BCH-2024-011,2027-02-28,48.00,CAPSULE,500,true
MED-012,Prilosec 40mg,GEN-006,Omeprazole,BCH-2024-012,2027-01-31,95.00,CAPSULE,220,true
MED-013,Cetzine 10mg,GEN-007,Cetirizine,BCH-2024-013,2027-12-31,22.00,TABLET,600,true
MED-014,Alerid 5mg,GEN-007,Cetirizine,BCH-2024-014,2028-01-31,18.00,TABLET,550,true
MED-015,Azee 500mg,GEN-008,Azithromycin,BCH-2024-015,2027-06-30,128.00,TABLET,300,true
MED-016,Zithromax 250mg,GEN-008,Azithromycin,BCH-2024-016,2027-08-31,95.00,TABLET,250,true
MED-017,Pan 40mg,GEN-009,Pantoprazole,BCH-2024-017,2027-07-31,52.00,TABLET,450,true
MED-018,Pantocid 20mg,GEN-009,Pantoprazole,BCH-2024-018,2027-09-30,38.00,TABLET,380,true
MED-019,Flagyl 400mg,GEN-010,Metronidazole,BCH-2024-019,2027-05-31,28.00,TABLET,400,true
MED-020,Metrogyl 200mg,GEN-010,Metronidazole,BCH-2024-020,2027-03-31,18.00,TABLET,350,true
MED-021,Ciplox 500mg,GEN-011,Ciprofloxacin,BCH-2024-021,2027-10-31,88.00,TABLET,280,true
MED-022,Cifran 250mg,GEN-011,Ciprofloxacin,BCH-2024-022,2027-08-31,62.00,TABLET,320,true
MED-023,Brufen 400mg,GEN-012,Ibuprofen,BCH-2024-023,2027-11-30,32.00,TABLET,500,true
MED-024,Combiflam 400mg,GEN-012,Ibuprofen,BCH-2024-024,2028-02-28,45.00,TABLET,420,true
MED-025,Cosart 50mg,GEN-013,Losartan,BCH-2024-025,2027-06-30,98.00,TABLET,200,true
MED-026,Cozaar 100mg,GEN-013,Losartan,BCH-2024-026,2027-12-31,165.00,TABLET,150,true
MED-027,Asthalin 100mcg,GEN-014,Salbutamol,BCH-2024-027,2027-07-31,125.00,INHALER,100,true
MED-028,Salbutamol Syrup,GEN-014,Salbutamol,BCH-2024-028,2027-04-30,45.00,SYRUP,80,true
MED-029,Doxycap 100mg,GEN-015,Doxycycline,BCH-2024-029,2027-09-30,68.00,CAPSULE,250,true
MED-030,Doxt 200mg,GEN-015,Doxycycline,BCH-2024-030,2027-11-30,112.00,TABLET,200,true
MED-031,Aciloc 150mg,GEN-016,Ranitidine,BCH-2024-031,2027-03-31,28.00,TABLET,400,true
MED-032,Zinetac 300mg,GEN-016,Ranitidine,BCH-2024-032,2027-05-31,42.00,TABLET,350,true
MED-033,Voveran 50mg,GEN-017,Diclofenac,BCH-2024-033,2027-08-31,38.00,TABLET,350,true
MED-034,Voltaren Gel,GEN-017,Diclofenac,BCH-2024-034,2027-10-31,185.00,CREAM,60,true
MED-035,Clopilet 75mg,GEN-018,Clopidogrel,BCH-2024-035,2027-12-31,145.00,TABLET,180,true
MED-036,Plavix 75mg,GEN-018,Clopidogrel,BCH-2024-036,2028-01-31,295.00,TABLET,100,true
MED-037,Thyronorm 50mcg,GEN-019,Levothyroxine,BCH-2024-037,2027-06-30,58.00,TABLET,300,true
MED-038,Eltroxin 100mcg,GEN-019,Levothyroxine,BCH-2024-038,2027-09-30,88.00,TABLET,250,true
MED-039,Daonil 5mg,GEN-020,Glibenclamide,BCH-2024-039,2027-07-31,22.00,TABLET,400,true
MED-040,Glyburide 2.5mg,GEN-020,Glibenclamide,BCH-2024-040,2027-11-30,18.00,TABLET,350,true
MED-041,Montair 10mg,GEN-021,Montelukast,BCH-2024-041,2027-10-31,98.00,TABLET,250,true
MED-042,Singulair 5mg,GEN-021,Montelukast,BCH-2024-042,2028-02-28,145.00,TABLET,180,true
MED-043,Zoloft 50mg,GEN-022,Sertraline,BCH-2024-043,2027-08-31,185.00,TABLET,150,true
MED-044,Daxid 100mg,GEN-022,Sertraline,BCH-2024-044,2027-12-31,245.00,TABLET,120,true
MED-045,Folvite 5mg,GEN-023,Folic Acid,BCH-2024-045,2028-01-31,15.00,TABLET,600,true
MED-046,Folsafe 400mcg,GEN-023,Folic Acid,BCH-2024-046,2028-03-31,28.00,TABLET,500,true
MED-047,Calcirol 60000IU,GEN-024,Vitamin D3,BCH-2024-047,2027-09-30,125.00,SACHET,200,true
MED-048,Shelcal-D3 1000IU,GEN-024,Vitamin D3,BCH-2024-048,2028-01-31,285.00,TABLET,150,true
MED-049,Caldikind 500mg,GEN-025,Calcium Carbonate,BCH-2024-049,2027-11-30,62.00,TABLET,300,true
MED-050,Shelcal 500mg,GEN-025,Calcium Carbonate,BCH-2024-050,2028-02-28,98.00,TABLET,250,true
