generic_code,name
GEN-001,Paracetamol
GEN-002,Amoxicillin
GEN-003,Metformin
GEN-004,Amlodipine
GEN-005,Atorvastatin
GEN-006,Omeprazole
GEN-007,Cetirizine
GEN-008,Azithromycin
GEN-009,Pantoprazole
GEN-010,Metronidazole
GEN-011,Ciprofloxacin
GEN-012,Ibuprofen
GEN-013,Losartan
GEN-014,Salbutamol
GEN-015,Doxycycline
GEN-016,Ranitidine
GEN-017,Diclofenac
GEN-018,Clopidogrel
GEN-019,Levothyroxine
GEN-020,Glibenclamide
GEN-021,Montelukast
GEN-022,Sertraline
GEN-023,Folic Acid
GEN-024,Vitamin D3
GEN-025,Calcium Carbonate
GEN-026,Ferrous Sulphate
GEN-027,Domperidone
GEN-028,Ondansetron
GEN-029,Cefixime
GEN-030,Albendazole
